epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,9718.09,0.74295,1.48036,0.7281,1.02328,0.84942,0.76138,0.83441,0.71631,0.84643,0.75709,0.8214,0.64511,0.65125,1.33325,0.58981,0.95753,0.00765085,0.00765085,0.00765085
30,10057.8,0.7343,1.46726,0.72088,1.01901,0.90535,0.76324,0.83355,0.72448,0.90947,0.75198,0.82242,0.64839,0.64165,1.32128,0.5846,0.95359,0.00756695,0.00756695,0.00756695
31,10401.3,0.73625,1.4647,0.7134,1.01962,0.91827,0.75594,0.83483,0.72419,0.9022,0.759,0.82288,0.6431,0.63758,1.29872,0.57814,0.95128,0.00748305,0.00748305,0.00748305
32,10743.2,0.72938,1.45202,0.70288,1.01545,0.90749,0.76014,0.83392,0.72737,0.90082,0.75284,0.8194,0.64912,0.63226,1.29462,0.56957,0.94758,0.00739915,0.00739915,0.00739915
33,11084.9,0.73132,1.45169,0.70664,1.01525,0.88198,0.78654,0.83676,0.72487,0.87956,0.78415,0.82806,0.64611,0.63115,1.29245,0.56445,0.94311,0.00731525,0.00731525,0.00731525
34,11426.2,0.72551,1.44832,0.70068,1.01488,0.91681,0.75768,0.84296,0.73171,0.91375,0.75431,0.83291,0.64892,0.62653,1.28788,0.55663,0.94344,0.00723136,0.00723136,0.00723136
35,11767.9,0.71483,1.41828,0.68379,1.00839,0.89027,0.77072,0.84034,0.73405,0.88845,0.76871,0.83005,0.66038,0.61961,1.27449,0.55352,0.94022,0.00714746,0.00714746,0.00714746
36,12104.9,0.71474,1.42589,0.68332,1.00969,0.9198,0.75597,0.83765,0.73502,0.91777,0.75333,0.82906,0.6668,0.61639,1.25931,0.54608,0.93859,0.00706356,0.00706356,0.00706356
37,12442.5,0.71529,1.42068,0.68266,1.00932,0.91471,0.76225,0.84068,0.73615,0.91312,0.75792,0.82957,0.66578,0.61078,1.26135,0.54175,0.93458,0.00697966,0.00697966,0.00697966
38,12783.4,0.70185,1.40356,0.66635,1.00197,0.84984,0.7805,0.83505,0.73305,0.84607,0.77631,0.82598,0.64576,0.60709,1.26157,0.54495,0.9339,0.00689576,0.00689576,0.00689576
39,13120,0.702,1.40384,0.66818,1.00165,0.91099,0.77505,0.842,0.73479,0.90721,0.77068,0.83145,0.66037,0.60688,1.24621,0.53622,0.93207,0.00681186,0.00681186,0.00681186
