epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2380.65,0.91588,2.65624,0.8685,1.17894,0.53999,0.46801,0.45573,0.36215,0.51703,0.43951,0.40855,0.22169,1.03485,2.87396,1.08023,1.34738,0.0002086,0.0002086,0.0002086
31,2461.73,0.90998,2.64982,0.84676,1.17234,0.6938,0.41459,0.46844,0.36834,0.665,0.38903,0.4166,0.21485,1.05074,2.91044,1.07876,1.3522,0.000202,0.000202,0.000202
32,2542.27,0.90197,2.66035,0.84068,1.17953,0.49274,0.47219,0.46313,0.36838,0.45604,0.43569,0.401,0.21508,1.026,2.90197,1.07524,1.34283,0.0001954,0.0001954,0.0001954
33,2623.18,0.90001,2.64809,0.82434,1.16795,0.51832,0.49051,0.46752,0.37274,0.4989,0.44761,0.41147,0.22416,1.03076,2.90627,1.05169,1.34386,0.0001888,0.0001888,0.0001888
34,2704.7,0.88874,2.63563,0.82349,1.166,0.58711,0.47756,0.48226,0.3779,0.5413,0.43913,0.40313,0.21632,1.0283,2.89878,1.04891,1.34663,0.0001822,0.0001822,0.0001822
35,2785.6,0.88637,2.61573,0.80094,1.16325,0.66008,0.47375,0.47108,0.37413,0.63122,0.44489,0.41615,0.21659,1.03172,2.97909,1.05762,1.35899,0.0001756,0.0001756,0.0001756
36,2866.94,0.87503,2.61697,0.79266,1.16244,0.56236,0.48831,0.46467,0.37028,0.53486,0.45969,0.41537,0.22149,1.04228,2.8878,1.07226,1.35296,0.000169,0.000169,0.000169
37,2947.73,0.88154,2.61059,0.78913,1.15883,0.58565,0.48181,0.47947,0.38516,0.54942,0.43883,0.42185,0.22625,1.03212,2.9075,1.05197,1.35927,0.0001624,0.0001624,0.0001624
38,3029.01,0.8784,2.59814,0.77811,1.15871,0.56231,0.49711,0.48102,0.38763,0.54411,0.4552,0.42605,0.23218,1.03951,2.94692,1.05663,1.35511,0.0001558,0.0001558,0.0001558
39,3109.47,0.87146,2.6041,0.78056,1.15365,0.5766,0.46867,0.47377,0.37559,0.55095,0.4405,0.4234,0.22693,1.02724,2.90627,1.0491,1.35787,0.0001492,0.0001492,0.0001492
40,3191.1,0.86686,2.61376,0.77283,1.15473,0.56023,0.462,0.47304,0.37408,0.5262,0.43442,0.41769,0.21736,1.03076,2.91711,1.0339,1.35798,0.0001426,0.0001426,0.0001426
41,3271.83,0.86628,2.59274,0.74884,1.15414,0.55205,0.49014,0.47327,0.37946,0.59998,0.41726,0.41617,0.22172,1.01918,2.96209,1.02286,1.3551,0.000136,0.000136,0.000136
42,3354.13,0.85259,2.58055,0.74086,1.14086,0.593,0.4712,0.47573,0.38287,0.56133,0.43538,0.41698,0.22298,1.03756,2.93473,1.02919,1.36296,0.0001294,0.0001294,0.0001294
43,3435.08,0.85917,2.58824,0.74157,1.14517,0.56076,0.50763,0.48752,0.39772,0.52541,0.47621,0.43018,0.22645,1.02651,2.93235,1.01235,1.35948,0.0001228,0.0001228,0.0001228
44,3516.03,0.85094,2.57577,0.74385,1.14467,0.59044,0.48886,0.48501,0.38977,0.56694,0.459,0.42863,0.2315,1.03548,2.96231,1.02482,1.362,0.0001162,0.0001162,0.0001162
45,3596.53,0.83661,2.5631,0.71844,1.13781,0.63061,0.47675,0.49116,0.39668,0.58483,0.43136,0.4201,0.22703,1.02703,2.96231,1.0269,1.36137,0.0001096,0.0001096,0.0001096
46,3678.99,0.8383,2.5539,0.72165,1.13225,0.66146,0.46203,0.49315,0.39596,0.62017,0.43023,0.43234,0.22883,1.02774,2.92618,1.01513,1.37283,0.000103,0.000103,0.000103
47,3762.39,0.83071,2.53227,0.71009,1.12777,0.58271,0.47135,0.48297,0.3864,0.55428,0.44133,0.4292,0.22257,1.02917,2.96303,1.02587,1.36184,9.64e-05,9.64e-05,9.64e-05
48,3847.4,0.83262,2.52406,0.70533,1.12984,0.59664,0.48473,0.48472,0.38876,0.65988,0.44389,0.43042,0.23506,1.03923,2.95039,1.04754,1.3763,8.98e-05,8.98e-05,8.98e-05
49,3930.01,0.83213,2.52079,0.69689,1.12807,0.58824,0.48003,0.48365,0.38438,0.55909,0.45157,0.42968,0.23159,1.03678,2.94401,1.01885,1.3664,8.32e-05,8.32e-05,8.32e-05
50,4012.64,0.81958,2.49326,0.68772,1.12407,0.65463,0.48543,0.48132,0.38452,0.62846,0.45889,0.42849,0.23406,1.03098,2.94023,1.0174,1.37418,7.66e-05,7.66e-05,7.66e-05
51,4094.81,0.80654,2.43451,0.64099,1.18465,0.60864,0.46792,0.4798,0.38805,0.57793,0.43891,0.42668,0.23017,1.02896,2.98463,1.01684,1.3689,7e-05,7e-05,7e-05
52,4174.61,0.78238,2.40735,0.60657,1.16767,0.60321,0.48993,0.47886,0.38574,0.57565,0.45989,0.42586,0.22233,1.03527,2.9855,1.03236,1.37484,6.34e-05,6.34e-05,6.34e-05
53,4254.37,0.76644,2.36936,0.58856,1.15283,0.61228,0.48197,0.4847,0.3927,0.58055,0.45163,0.42793,0.23072,1.0348,3.03351,1.01739,1.3806,5.68e-05,5.68e-05,5.68e-05
54,4334.15,0.76958,2.36571,0.58469,1.15821,0.60833,0.48248,0.48068,0.38889,0.57715,0.45124,0.4256,0.22411,1.03386,3.03398,1.02502,1.38023,5.02e-05,5.02e-05,5.02e-05
55,4412.81,0.76199,2.36119,0.57932,1.14978,0.59443,0.49617,0.47882,0.38571,0.56532,0.46744,0.42463,0.22912,1.02635,3.01764,1.03034,1.37129,4.36e-05,4.36e-05,4.36e-05
56,4495.36,0.75659,2.34742,0.56726,1.15437,0.6125,0.47502,0.47371,0.38331,0.58178,0.4451,0.41895,0.22503,1.02826,3.02196,1.02539,1.37899,3.7e-05,3.7e-05,3.7e-05
57,4576.61,0.74961,2.35356,0.56996,1.15417,0.5968,0.50113,0.48037,0.38921,0.56874,0.47262,0.42653,0.22862,1.02944,3.02773,1.02637,1.37795,3.04e-05,3.04e-05,3.04e-05
58,4657.92,0.75077,2.32496,0.56046,1.14706,0.62151,0.49542,0.48231,0.38854,0.5915,0.46577,0.42687,0.22737,1.029,3.03793,1.01956,1.38413,2.38e-05,2.38e-05,2.38e-05
59,4737.76,0.74208,2.34983,0.556,1.14612,0.62544,0.48814,0.4836,0.39194,0.59433,0.45862,0.42821,0.22756,1.03006,3.02773,1.02177,1.38848,1.72e-05,1.72e-05,1.72e-05
60,4817.53,0.73351,2.31424,0.55055,1.14078,0.62042,0.49202,0.48297,0.38849,0.58881,0.46198,0.42701,0.22834,1.03158,3.03421,1.01888,1.38852,1.06e-05,1.06e-05,1.06e-05
