epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,2318.65,0.94789,2.71535,0.89797,1.19458,0.55529,0.41977,0.45586,0.35164,0.53317,0.3875,0.40253,0.2085,1.07079,2.93026,1.11318,1.36495,0.00034456,0.00034456,0.00034456
30,2398.39,0.95269,2.70292,0.91029,1.19742,0.56152,0.43696,0.45808,0.3546,0.53566,0.41004,0.40795,0.21814,1.05462,2.92044,1.09886,1.35058,0.00034258,0.00034258,0.00034258
31,2479.2,0.94333,2.70074,0.89141,1.19014,0.53848,0.49621,0.47935,0.38271,0.5148,0.46802,0.43306,0.22221,1.04646,2.88972,1.09729,1.3419,0.0003406,0.0003406,0.0003406
32,2558.28,0.93673,2.70861,0.88513,1.19825,0.59562,0.45626,0.46188,0.35165,0.54808,0.4132,0.39179,0.19907,1.05919,2.9629,1.09316,1.36647,0.00033862,0.00033862,0.00033862
33,2638.27,0.93847,2.7038,0.8705,1.19011,0.6386,0.46525,0.46932,0.36807,0.60635,0.43324,0.40938,0.21796,1.05397,2.90803,1.09624,1.36289,0.00033664,0.00033664,0.00033664
34,2717.22,0.92817,2.69489,0.87168,1.18801,0.58959,0.47034,0.45955,0.35551,0.55282,0.43296,0.40511,0.20095,1.06023,2.92112,1.10076,1.34866,0.00033466,0.00033466,0.00033466
35,2796.53,0.92243,2.67949,0.84966,1.18144,0.65798,0.47274,0.47732,0.37308,0.76202,0.38869,0.41726,0.21507,1.05173,2.94706,1.06105,1.3603,0.00033268,0.00033268,0.00033268
36,2875.91,0.91623,2.68139,0.84368,1.1824,0.59607,0.48712,0.45964,0.36341,0.56502,0.44647,0.39547,0.20733,1.06855,2.90015,1.07861,1.3691,0.0003307,0.0003307,0.0003307
37,2954.64,0.92272,2.6731,0.83485,1.18041,0.66049,0.46304,0.46915,0.36976,0.6209,0.42582,0.40671,0.21011,1.05594,2.94404,1.04911,1.36568,0.00032872,0.00032872,0.00032872
38,3034,0.92186,2.65428,0.83402,1.18095,0.58493,0.47545,0.47815,0.3707,0.55689,0.44536,0.41919,0.22033,1.06209,2.93847,1.07281,1.37126,0.00032674,0.00032674,0.00032674
39,3113.65,0.91737,2.66519,0.83468,1.17835,0.63725,0.4553,0.45518,0.34997,0.60328,0.42761,0.40063,0.20748,1.04284,2.94042,1.06608,1.35152,0.00032476,0.00032476,0.00032476
40,3192.74,0.91658,2.6833,0.82527,1.18111,0.68143,0.4452,0.4745,0.37315,0.65106,0.41512,0.41511,0.21774,1.04381,2.88976,1.0608,1.35234,0.00032278,0.00032278,0.00032278
41,3271.39,0.91142,2.6626,0.80437,1.17996,0.60866,0.46058,0.46628,0.36527,0.57415,0.42115,0.40402,0.21373,1.04609,2.93728,1.08438,1.36262,0.0003208,0.0003208,0.0003208
42,3350.12,0.90976,2.65566,0.80202,1.17104,0.64777,0.47898,0.47274,0.36835,0.61157,0.44492,0.41004,0.20433,1.05769,2.96201,1.06877,1.3587,0.00031882,0.00031882,0.00031882
