epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,21402.6,0.53165,1.06146,0.42934,0.97319,0.91749,0.85167,0.90337,0.81274,0.91105,0.84547,0.89036,0.74431,0.54307,1.16714,0.4278,0.98265,0.000234386,0.000234386,0.000234386
30,22139.4,0.53223,1.06733,0.42736,0.97392,0.90436,0.86195,0.90627,0.815,0.89685,0.85104,0.89002,0.74867,0.54129,1.16477,0.42346,0.97755,0.000223971,0.000223971,0.000223971
31,22875.6,0.52029,1.02898,0.41538,0.96938,0.93011,0.85201,0.90913,0.82299,0.89324,0.8629,0.89487,0.75156,0.53476,1.16973,0.42249,0.97934,0.000213556,0.000213556,0.000213556
32,23612.6,0.5174,1.02825,0.41287,0.96584,0.92192,0.84627,0.91056,0.82387,0.91761,0.84167,0.89566,0.75637,0.53591,1.15317,0.42169,0.98239,0.000203141,0.000203141,0.000203141
33,24350.1,0.51269,1.01636,0.4036,0.96382,0.89869,0.8674,0.90849,0.8233,0.90169,0.85751,0.89568,0.75315,0.5301,1.15949,0.41152,0.97516,0.000192726,0.000192726,0.000192726
34,25087.1,0.50636,1.00448,0.39923,0.95663,0.89474,0.86527,0.90755,0.82485,0.89044,0.8578,0.89369,0.75629,0.52439,1.15754,0.40589,0.96608,0.000182312,0.000182312,0.000182312
35,25824.2,0.49723,0.98438,0.38849,0.95394,0.91505,0.86475,0.90895,0.82182,0.90532,0.85318,0.89054,0.75076,0.52691,1.15744,0.40073,0.96589,0.000171897,0.000171897,0.000171897
36,26561.8,0.4927,0.97465,0.38457,0.95194,0.89227,0.8822,0.91198,0.8255,0.89754,0.8582,0.89487,0.75884,0.52028,1.14543,0.39609,0.96711,0.000161482,0.000161482,0.000161482
37,27298.7,0.48981,0.97264,0.38061,0.94971,0.93233,0.83986,0.90754,0.82303,0.9306,0.83336,0.89216,0.75704,0.51797,1.15662,0.39938,0.96837,0.000151067,0.000151067,0.000151067
38,28035.9,0.4831,0.95591,0.37217,0.94589,0.88934,0.86715,0.91108,0.83154,0.92287,0.83119,0.89605,0.76282,0.50924,1.15564,0.38838,0.9622,0.000140652,0.000140652,0.000140652
39,28773.5,0.47734,0.93754,0.36581,0.94236,0.90888,0.85869,0.91056,0.82845,0.90663,0.84188,0.89409,0.75914,0.51177,1.16109,0.3898,0.95817,0.000130238,0.000130238,0.000130238
40,29510.8,0.46895,0.92314,0.35761,0.9395,0.90067,0.86652,0.90945,0.83052,0.88951,0.85377,0.89361,0.75986,0.50718,1.16192,0.38811,0.95355,0.000119823,0.000119823,0.000119823
41,30247.5,0.42777,0.84392,0.30153,0.92348,0.88848,0.87927,0.91246,0.83148,0.89326,0.85919,0.8959,0.76577,0.51023,1.16871,0.38637,0.95531,0.000109408,0.000109408,0.000109408
42,30984.2,0.41832,0.81274,0.28998,0.91771,0.92291,0.86521,0.91033,0.8315,0.91139,0.85503,0.89499,0.76414,0.50794,1.1876,0.38278,0.95565,9.89932e-05,9.89932e-05,9.89932e-05
43,31719.4,0.4091,0.79623,0.2817,0.91206,0.91,0.86783,0.91186,0.83455,0.90633,0.85521,0.89584,0.76563,0.50093,1.17752,0.37736,0.95468,8.85784e-05,8.85784e-05,8.85784e-05
44,32455.3,0.39965,0.77957,0.27423,0.91047,0.90291,0.8725,0.91291,0.83534,0.9221,0.84452,0.89595,0.77042,0.49986,1.19016,0.37761,0.96316,7.81636e-05,7.81636e-05,7.81636e-05
45,33193.3,0.39178,0.76686,0.26591,0.90595,0.90454,0.87265,0.91155,0.83466,0.91255,0.84638,0.89526,0.77449,0.49788,1.20238,0.3723,0.95869,6.77488e-05,6.77488e-05,6.77488e-05
46,33930.4,0.38612,0.74854,0.26132,0.90448,0.90311,0.86684,0.91136,0.83566,0.90632,0.85399,0.89981,0.779,0.49718,1.21108,0.37231,0.96557,5.7334e-05,5.7334e-05,5.7334e-05
47,34668.1,0.37903,0.73862,0.25545,0.90075,0.92012,0.87302,0.91469,0.83891,0.91812,0.85627,0.901,0.77786,0.4962,1.22424,0.37191,0.96461,4.69192e-05,4.69192e-05,4.69192e-05
48,35404.9,0.37221,0.7295,0.25042,0.89481,0.90518,0.87049,0.91444,0.83924,0.90761,0.8465,0.89813,0.77789,0.49365,1.22639,0.37132,0.96043,3.65044e-05,3.65044e-05,3.65044e-05
49,36141.3,0.36663,0.71779,0.24618,0.89051,0.87867,0.88987,0.9149,0.83995,0.88749,0.8611,0.89935,0.77797,0.49277,1.23117,0.36902,0.9604,2.60896e-05,2.60896e-05,2.60896e-05
50,36878.8,0.36083,0.71068,0.24145,0.88604,0.89853,0.87039,0.91418,0.83999,0.89195,0.86358,0.89961,0.78003,0.49131,1.24076,0.37022,0.95987,1.56748e-05,1.56748e-05,1.56748e-05
