epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,23491.8,0.51986,1.02691,0.43792,0.96619,0.89631,0.80415,0.86665,0.78434,0.8939,0.79528,0.8563,0.72287,0.525,1.13755,0.44158,0.9626,0.00017824,0.00017824,0.00017824
30,24299.8,0.51499,1.01937,0.43058,0.96395,0.89233,0.82136,0.86726,0.78475,0.88898,0.81641,0.85873,0.72104,0.51785,1.11047,0.43176,0.9602,0.00017032,0.00017032,0.00017032
31,25109.7,0.50957,0.99771,0.41886,0.95881,0.90141,0.80899,0.86756,0.79479,0.90012,0.79984,0.85665,0.72526,0.51322,1.11056,0.4283,0.96259,0.0001624,0.0001624,0.0001624
32,25919.8,0.50315,0.98796,0.41345,0.95629,0.9297,0.80151,0.86785,0.79618,0.92838,0.79657,0.85628,0.72925,0.51385,1.11206,0.4254,0.96063,0.00015448,0.00015448,0.00015448
33,26730.5,0.50195,0.98012,0.41144,0.95349,0.90594,0.81808,0.87297,0.793,0.90093,0.81085,0.86045,0.73185,0.50304,1.10711,0.41946,0.95634,0.00014656,0.00014656,0.00014656
34,27543.4,0.49535,0.97797,0.40598,0.95502,0.87686,0.80616,0.8716,0.79436,0.87233,0.79954,0.86084,0.73479,0.50785,1.11109,0.41527,0.97121,0.00013864,0.00013864,0.00013864
35,28355.5,0.48581,0.94946,0.39078,0.94742,0.85561,0.81669,0.86839,0.79623,0.85892,0.80749,0.8576,0.73037,0.50468,1.11025,0.41636,0.96233,0.00013072,0.00013072,0.00013072
36,29168.8,0.4858,0.94898,0.38733,0.949,0.91081,0.81979,0.87054,0.79897,0.90824,0.8103,0.85987,0.74177,0.50185,1.10853,0.41002,0.95865,0.0001228,0.0001228,0.0001228
37,29982.4,0.47954,0.93146,0.3817,0.94418,0.83626,0.83055,0.87239,0.80125,0.83997,0.8219,0.86431,0.74592,0.49902,1.11548,0.40806,0.9576,0.00011488,0.00011488,0.00011488
38,30797,0.46811,0.923,0.36843,0.93829,0.85881,0.81024,0.87259,0.79666,0.85432,0.80511,0.86332,0.74072,0.5008,1.11514,0.40757,0.9557,0.00010696,0.00010696,0.00010696
39,31608,0.46805,0.91128,0.36534,0.93618,0.92056,0.80027,0.87038,0.79426,0.92424,0.78974,0.85902,0.74456,0.49857,1.11742,0.40695,0.95643,9.904e-05,9.904e-05,9.904e-05
40,32419.2,0.46718,0.90658,0.3656,0.93709,0.85555,0.8215,0.87298,0.79839,0.86056,0.80661,0.86359,0.74089,0.49493,1.11629,0.40015,0.95299,9.112e-05,9.112e-05,9.112e-05
41,33230.5,0.41661,0.80305,0.30079,0.91707,0.93281,0.80538,0.87321,0.79596,0.93039,0.80294,0.86473,0.74106,0.49839,1.12039,0.40239,0.9566,8.32e-05,8.32e-05,8.32e-05
42,34041.4,0.40687,0.78389,0.28944,0.91309,0.90606,0.81079,0.87115,0.79637,0.92531,0.7924,0.8638,0.73901,0.49378,1.12537,0.39998,0.95796,7.528e-05,7.528e-05,7.528e-05
43,34847.6,0.40149,0.76964,0.28268,0.91163,0.91777,0.80321,0.87377,0.80414,0.91838,0.79711,0.86433,0.74741,0.48953,1.13041,0.39665,0.95618,6.736e-05,6.736e-05,6.736e-05
44,35657.8,0.39146,0.74916,0.27732,0.90562,0.91737,0.80832,0.8737,0.80289,0.9092,0.80133,0.86183,0.74076,0.49031,1.13395,0.3976,0.96079,5.944e-05,5.944e-05,5.944e-05
45,36469.9,0.38408,0.74684,0.26922,0.90277,0.92869,0.80141,0.87149,0.79673,0.92341,0.79478,0.86106,0.74029,0.48895,1.1323,0.39715,0.96095,5.152e-05,5.152e-05,5.152e-05
46,37283.7,0.37819,0.72376,0.2634,0.89801,0.92458,0.8044,0.87315,0.79879,0.91391,0.80023,0.865,0.74787,0.48558,1.14589,0.39554,0.95682,4.36e-05,4.36e-05,4.36e-05
47,38093.6,0.37087,0.71512,0.25707,0.89293,0.88013,0.80399,0.87319,0.79899,0.87799,0.79426,0.86289,0.74316,0.48489,1.15831,0.39532,0.95778,3.568e-05,3.568e-05,3.568e-05
48,38905,0.36566,0.70584,0.25209,0.89104,0.87364,0.80805,0.87162,0.79842,0.87575,0.79655,0.86203,0.74291,0.48215,1.16086,0.39384,0.95612,2.776e-05,2.776e-05,2.776e-05
49,39715.1,0.36141,0.70032,0.24688,0.88613,0.88207,0.80427,0.87217,0.79928,0.87513,0.79839,0.86237,0.74351,0.48203,1.16493,0.39273,0.95649,1.984e-05,1.984e-05,1.984e-05
50,40524.7,0.35324,0.68679,0.242,0.88291,0.87708,0.8067,0.87185,0.80027,0.87161,0.80053,0.86261,0.74989,0.48106,1.16903,0.392,0.95651,1.192e-05,1.192e-05,1.192e-05
